"epoch","outcome_accuracy","outcome_auprc","outcome_auroc","outcome_cost","outcome_f_measure","outcome_weighted_accuracy","part","step","time"
1.0,0.5882352941176471,0.642800115382558,0.6581959706959706,14360.562886487956,0.58591435884163,0.5480943738656987,"val",0.0,"2022-08-08 18:14:25.271525"
1.0,0.5775401069518716,0.6235651363780068,0.6327266483516483,14031.703862175109,0.5767655063744449,0.558983666061706,"val",1.0,"2022-08-08 18:14:25.327775"
1.0,0.5721925133689839,0.5938576940654062,0.6138965201465201,13377.218631496524,0.5721802791123314,0.5862068965517241,"val",2.0,"2022-08-08 18:14:25.364108"
1.0,0.5454545454545454,0.6204809083332257,0.6212797619047619,13674.417679987904,0.5452464738362945,0.5698729582577132,"val",3.0,"2022-08-08 18:14:25.399588"
1.0,0.5561497326203209,0.6087249679467365,0.5934638278388278,14284.46783220187,0.5556923253084476,0.5444646098003629,"val",4.0,"2022-08-08 18:14:25.450785"
1.0,0.5721925133689839,0.6294560757901555,0.6225389194139194,14589.232247993432,0.5701149425287356,0.5353901996370236,"val",5.0,"2022-08-08 18:14:25.501139"
1.0,0.5721925133689839,0.6357566893942925,0.627117673992674,14774.251876879,0.5694220584849182,0.5281306715063521,"val",6.0,"2022-08-08 18:14:25.546187"
1.0,0.5828877005347594,0.61580176671276,0.6108630952380951,14560.348133563492,0.5801865070227953,0.5390199637023594,"val",7.0,"2022-08-08 18:14:25.590933"
1.0,0.5828877005347594,0.6496584984952849,0.6369047619047619,14560.348133563492,0.5801865070227953,0.5390199637023594,"val",8.0,"2022-08-08 18:14:25.654727"
1.0,0.5721925133689839,0.648709494141531,0.6477793040293042,13877.280017094692,0.5718864468864469,0.5644283121597096,"val",9.0,"2022-08-08 18:14:25.715109"
1.0,0.5614973262032086,0.6177816280524612,0.6103479853479853,14441.231330672857,0.5604792478789269,0.5390199637023594,"val",10.0,"2022-08-08 18:14:25.770290"
1.0,0.5935828877005348,0.6401584134255207,0.6367330586080585,14161.424761362416,0.5916091954022988,0.5571687840290381,"val",11.0,"2022-08-08 18:14:25.824958"
1.0,0.5989304812834224,0.6490026243383626,0.6335279304029304,13088.523724492938,0.5988845988845989,0.6025408348457351,"val",12.0,"2022-08-08 18:14:25.957288"
1.0,0.5775401069518716,0.6381809346364871,0.622081043956044,14209.788360244993,0.5763285439788924,0.5517241379310345,"val",13.0,"2022-08-08 18:14:26.087218"
1.0,0.6149732620320856,0.6343620302769217,0.6295787545787543,14106.172967171053,0.611764705882353,0.5644283121597096,"val",14.0,"2022-08-08 18:14:26.199767"
1.0,0.6096256684491979,0.6360814354728488,0.6266597985347985,13214.94911562433,0.6092233704520081,0.5989110707803993,"val",15.0,"2022-08-08 18:14:26.312221"
1.0,0.5668449197860963,0.6458907520111703,0.6239125457875458,14788.37037311897,0.5644034164437925,0.5263157894736842,"val",16.0,"2022-08-08 18:14:26.555586"
1.0,0.5668449197860963,0.6412794499614614,0.619562728937729,14604.663278543696,0.56505384063173,0.5335753176043557,"val",17.0,"2022-08-08 18:14:26.795343"
1.0,0.5989304812834224,0.642570656241995,0.6250572344322345,13962.952048597173,0.5972720746590093,0.5662431941923775,"val",18.0,"2022-08-08 18:14:27.002557"
1.0,0.5828877005347594,0.6449254245030271,0.6274038461538461,14375.328504677924,0.5808620689655173,0.5462794918330308,"val",19.0,"2022-08-08 18:14:27.209127"
1.0,0.5989304812834224,0.6150700255844961,0.6278331043956042,13962.952048597173,0.5972720746590093,0.5662431941923775,"val",20.0,"2022-08-08 18:14:27.248191"
1.0,0.5721925133689839,0.5961988578647031,0.6017914377289375,14406.874490250988,0.5707070707070707,0.542649727767695,"val",21.0,"2022-08-08 18:14:27.286087"
1.0,0.5668449197860963,0.6462253472074044,0.6335851648351647,14245.607605490617,0.5660507090674689,0.5480943738656987,"val",22.0,"2022-08-08 18:14:27.326514"
1.0,0.5721925133689839,0.5945880513737504,0.594036172161172,14050.744070249299,0.5715922107674685,0.5571687840290381,"val",23.0,"2022-08-08 18:14:27.363282"
1.0,0.5935828877005348,0.6402457928683678,0.6317822802197799,14161.424761362416,0.5916091954022988,0.5571687840290381,"val",24.0,"2022-08-08 18:14:27.413581"
1.0,0.6096256684491979,0.6426889764175918,0.6382783882783882,13932.75539985694,0.6074253012394675,0.5698729582577132,"val",25.0,"2022-08-08 18:14:27.463587"
1.0,0.5508021390374331,0.6337490761470539,0.6231112637362637,15017.039734624448,0.5486206896551724,0.5136116152450091,"val",26.0,"2022-08-08 18:14:27.508662"
1.0,0.5828877005347594,0.6247381653314876,0.6112923534798533,14560.348133563492,0.5801865070227953,0.5390199637023594,"val",27.0,"2022-08-08 18:14:27.553159"
1.0,0.5721925133689839,0.5999575853043686,0.592176053113553,14774.251876879,0.5694220584849182,0.5281306715063521,"val",28.0,"2022-08-08 18:14:27.614863"
1.0,0.5882352941176471,0.645206234925733,0.6236549908424907,14546.858690565163,0.5851986287557975,0.5408348457350273,"val",29.0,"2022-08-08 18:14:27.676377"
1.0,0.5775401069518716,0.6321509308413338,0.6184466575091574,14574.466629803464,0.5751588876427113,0.5372050816696915,"val",30.0,"2022-08-08 18:14:27.729715"
1.0,0.5775401069518716,0.6287946294390152,0.6154418498168497,14760.76243388067,0.574424567165039,0.52994555353902,"val",31.0,"2022-08-08 18:14:27.784079"
1.0,0.5882352941176471,0.6458928880448636,0.6228823260073257,14360.562886487956,0.58591435884163,0.5480943738656987,"val",32.0,"2022-08-08 18:14:27.912729"
1.0,0.6149732620320856,0.6523343148523552,0.6416552197802197,13918.636903616969,0.6124798526364265,0.5716878402903811,"val",33.0,"2022-08-08 18:14:28.040088"
1.0,0.5614973262032086,0.638857611047589,0.6216231684981683,15365.602292727686,0.5569232547387887,0.5027223230490018,"val",34.0,"2022-08-08 18:14:28.150795"
1.0,0.5989304812834224,0.6404387798529034,0.6184752747252746,13962.952048597173,0.5972720746590093,0.5662431941923775,"val",35.0,"2022-08-08 18:14:28.261480"
1.0,0.5882352941176471,0.6483544684226774,0.6258012820512818,14176.85579191268,0.5865326633165829,0.5553539019963702,"val",36.0,"2022-08-08 18:14:28.500821"
1.0,0.5882352941176471,0.64514245165927,0.6343864468864469,14360.562886487956,0.58591435884163,0.5480943738656987,"val",37.0,"2022-08-08 18:14:28.757154"
1.0,0.5989304812834224,0.642433449847372,0.6359317765567766,13962.952048597173,0.5972720746590093,0.5662431941923775,"val",38.0,"2022-08-08 18:14:28.963665"
1.0,0.5935828877005348,0.6486329255846,0.630837912087912,14533.980453802069,0.5901960784313726,0.542649727767695,"val",39.0,"2022-08-08 18:14:29.172035"
1.0,0.5561497326203209,0.6131559777688624,0.6019917582417582,14637.59584687601,0.5548768246866844,0.52994555353902,"val",40.0,"2022-08-08 18:14:29.212915"
1.0,0.6096256684491979,0.6146824010625821,0.6120936355311355,13932.75539985694,0.6074253012394675,0.5698729582577132,"val",41.0,"2022-08-08 18:14:29.253226"
1.0,0.5828877005347594,0.6223772231834885,0.609289148351648,14375.328504677924,0.5808620689655173,0.5462794918330308,"val",42.0,"2022-08-08 18:14:29.290459"
1.0,0.5775401069518716,0.5993862786961985,0.5874828296703296,13856.660345570854,0.5771047433658718,0.5662431941923775,"val",43.0,"2022-08-08 18:14:29.327479"
1.0,0.5721925133689839,0.6297180315628945,0.6325549450549449,14589.232247993432,0.5701149425287356,0.5353901996370236,"val",44.0,"2022-08-08 18:14:29.379197"
1.0,0.5561497326203209,0.6300992775588121,0.612837683150183,14637.59584687601,0.5548768246866844,0.52994555353902,"val",45.0,"2022-08-08 18:14:29.431012"
1.0,0.5989304812834224,0.6339924066038694,0.6137820512820513,14521.695797969742,0.5951796796074469,0.5444646098003629,"val",46.0,"2022-08-08 18:14:29.478332"
1.0,0.5828877005347594,0.6447911049575568,0.6368475274725274,14560.348133563492,0.5801865070227953,0.5390199637023594,"val",47.0,"2022-08-08 18:14:29.524266"
1.0,0.5882352941176471,0.6110884282156215,0.612036401098901,14735.59954128525,0.5843844710636455,0.5335753176043557,"val",48.0,"2022-08-08 18:14:29.588449"
1.0,0.5668449197860963,0.6436171665618149,0.6167010073260071,14245.607605490617,0.5660507090674689,0.5480943738656987,"val",49.0,"2022-08-08 18:14:29.652145"
1.0,0.5882352941176471,0.6524429853213392,0.6357886904761905,14360.562886487956,0.58591435884163,0.5480943738656987,"val",50.0,"2022-08-08 18:14:29.707801"
1.0,0.6042780748663101,0.6536414287952255,0.6497825091575091,14132.540646932477,0.6017154040985494,0.5607985480943739,"val",51.0,"2022-08-08 18:14:29.765307"
1.0,0.5721925133689839,0.6606984036091665,0.6354166666666666,14961.787940433085,0.5686274509803921,0.5208711433756806,"val",52.0,"2022-08-08 18:14:29.893922"
1.0,0.6149732620320856,0.6522132625735702,0.6363324175824177,13733.6172747314,0.613103448275862,0.5789473684210527,"val",53.0,"2022-08-08 18:14:30.034031"
1.0,0.5828877005347594,0.6568244504552485,0.6362179487179487,14560.348133563492,0.5801865070227953,0.5390199637023594,"val",54.0,"2022-08-08 18:14:30.154970"
1.0,0.5721925133689839,0.6568813092454577,0.6369047619047618,14050.744070249299,0.5715922107674685,0.5571687840290381,"val",55.0,"2022-08-08 18:14:30.266779"
1.0,0.5614973262032086,0.6484237714178,0.6304945054945053,15175.691683748593,0.557843137254902,0.5099818511796733,"val",56.0,"2022-08-08 18:14:30.504035"
1.0,0.5775401069518716,0.6474445106723763,0.6264880952380951,14209.788360244993,0.5763285439788924,0.5517241379310345,"val",57.0,"2022-08-08 18:14:30.742503"
1.0,0.5935828877005348,0.6384085424058461,0.6241414835164835,14346.444390247985,0.5909509555606723,0.5499092558983666,"val",58.0,"2022-08-08 18:14:30.952717"
1.0,0.5882352941176471,0.6461255135075128,0.6277186355311355,14926.645323020244,0.5834707396800602,0.5263157894736842,"val",59.0,"2022-08-08 18:14:31.157994"
1.0,0.5989304812834224,0.6157593305425477,0.6279761904761905,14146.659143172448,0.5966698300405487,0.558983666061706,"val",60.0,"2022-08-08 18:14:31.198270"
1.0,0.5294117647058824,0.599990911020664,0.6001030219780219,14073.47913371814,0.5292906178489702,0.5499092558983666,"val",61.0,"2022-08-08 18:14:31.237152"
