"epoch","loss","lr","part","step","time","murmur_accuracy","murmur_auprc","murmur_auroc","murmur_cost","murmur_f_measure","murmur_weighted_accuracy","neg_weighted_cost","outcome_accuracy","outcome_auprc","outcome_auroc","outcome_cost","outcome_f_measure","outcome_weighted_accuracy"
0.0,1.1523444652557373,8.018401264382876e-05,"train",20.0,"2022-08-11 10:29:44.353067","","","","","","","","","","","","",""
0.0,0.8624811172485352,8.073598003228793e-05,"train",40.0,"2022-08-11 10:29:48.994965","","","","","","","","","","","","",""
0.0,0.7903069257736206,8.165569056333864e-05,"train",60.0,"2022-08-11 10:29:53.725525","","","","","","","","","","","","",""
0.0,0.8654209971427917,8.294279165705167e-05,"train",80.0,"2022-08-11 10:29:58.535797","","","","","","","","","","","","",""
0.0,0.8770143985748291,8.45967898907697e-05,"train",100.0,"2022-08-11 10:30:03.214874","","","","","","","","","","","","",""
0.0,"","","train",107.0,"2022-08-11 10:30:14.358100",0.8392927308447937,0.5647288966022845,0.6456541944818384,50035.0,0.45631275368511004,0.5108825639799092,-32084.022462148692,0.5516699410609037,0.56296639380531,0.5701827699312354,14133.044924297385,0.5515802159108264,0.5513383939272872
0.0,"","","val",107.0,"2022-08-11 10:30:17.844921",0.8367029548989113,0.5754106172501168,0.666224110462029,50035.0,0.4555461473327688,0.5061147695202258,-31999.74768252106,0.567651632970451,0.6131200039191282,0.6131033145958522,13964.495365042127,0.5666443629875293,0.5509333333333334
1.0,0.8635579347610474,8.661705118826846e-05,"train",120.0,"2022-08-11 10:30:22.672549","","","","","","","","","","","","",""
1.0,0.8090208768844604,8.900280106283426e-05,"train",140.0,"2022-08-11 10:30:27.322829","","","","","","","","","","","","",""
1.0,0.7892917990684509,9.175312491417121e-05,"train",160.0,"2022-08-11 10:30:32.096510","","","","","","","","","","","","",""
1.0,0.8080852627754211,9.486696837902268e-05,"train",180.0,"2022-08-11 10:30:36.824875","","","","","","","","","","","","",""
1.0,0.7046528458595276,9.834313773537072e-05,"train",200.0,"2022-08-11 10:30:41.468297","","","","","","","","","","","","",""
1.0,"","","train",214.0,"2022-08-11 10:30:54.898121",0.8392927308447937,0.5961787216792325,0.67012753770501,50035.0,0.45631275368511004,0.5108825639799092,-31021.882279702142,0.5332023575638507,0.6056865042177743,0.6180314213255691,12008.764559404288,0.47191570940116,0.7730723132241311
1.0,"","","val",214.0,"2022-08-11 10:30:58.419983",0.8367029548989113,0.5902435799141378,0.6768543104974326,50035.0,0.4555461473327688,0.5061147695202258,-30926.986552480506,0.5272161741835147,0.6206119423783386,0.6224946695095941,11818.973104961013,0.4725526173772261,0.7632
2.0,0.8743054866790771,0.00010218030036006245,"train",220.0,"2022-08-11 10:31:01.534782","","","","","","","","","","","","",""
2.0,0.7881244421005249,0.0001063769852396822,"train",240.0,"2022-08-11 10:31:06.144645","","","","","","","","","","","","",""
2.0,0.7396922707557678,0.00011093158353447973,"train",260.0,"2022-08-11 10:31:10.956072","","","","","","","","","","","","",""
2.0,0.8335323929786682,0.00011584234919513495,"train",280.0,"2022-08-11 10:31:15.554414","","","","","","","","","","","","",""
2.0,0.9259970784187317,0.00012110739963212217,"train",300.0,"2022-08-11 10:31:20.311225","","","","","","","","","","","","",""
2.0,0.8531219959259033,0.000126724716437418,"train",320.0,"2022-08-11 10:31:25.065170","","","","","","","","","","","","",""
2.0,"","","train",321.0,"2022-08-11 10:31:35.045276",0.8471512770137525,0.6831017912976453,0.708771737040192,48094.37951312594,0.5048908039682551,0.5348002870126763,-29839.962592571857,0.5465618860510806,0.6373376980223494,0.6403164131439623,11585.545672017775,0.5033116726737452,0.7557597549607138
2.0,"","","val",321.0,"2022-08-11 10:31:38.688463",0.8398133748055988,0.6976133925971153,0.7256859621171885,48902.09079283632,0.4837676256693662,0.5192850423330198,-30300.55344516756,0.5287713841368584,0.6411481551408219,0.6359275053304903,11699.016097498796,0.48369016480764493,0.7466666666666667
3.0,0.7063773274421692,0.00013269214615828058,"train",340.0,"2022-08-11 10:31:44.687794","","","","","","","","","","","","",""
3.0,0.8129678964614868,0.000139007401122793,"train",360.0,"2022-08-11 10:31:49.533077","","","","","","","","","","","","",""
3.0,0.8864348530769348,0.000145668060316867,"train",380.0,"2022-08-11 10:31:54.174630","","","","","","","","","","","","",""
3.0,0.8127489686012268,0.0001526715703123612,"train",400.0,"2022-08-11 10:31:58.920093","","","","","","","","","","","","",""
3.0,0.7643000483512878,0.00016001524624596189,"train",420.0,"2022-08-11 10:32:03.681881","","","","","","","","","","","","",""
3.0,"","","train",428.0,"2022-08-11 10:32:15.352809",0.82475442043222,0.7165528416215161,0.7311480682765121,32970.74921422101,0.669268648018648,0.6713704855297775,-22795.626313431985,0.5233791748526523,0.6401433367190921,0.6420911544717052,12620.503412642962,0.43676825905246486,0.7979757624184313
3.0,"","","val",428.0,"2022-08-11 10:32:18.833406",0.838258164852255,0.7409097208008124,0.7470791290493889,32065.068708704704,0.6921178637200737,0.6876763875823142,-22257.699343512402,0.52099533437014,0.6626440976693498,0.658771079666602,12450.329978320104,0.43649131592724955,0.8016
4.0,0.7666096091270447,0.00016769627284845298,"train",440.0,"2022-08-11 10:32:23.149472","","","","","","","","","","","","",""
4.0,0.8252108097076416,0.00017571170552397502,"train",460.0,"2022-08-11 10:32:27.965040","","","","","","","","","","","","",""
4.0,0.782974123954773,0.00018405847147886546,"train",480.0,"2022-08-11 10:32:32.591155","","","","","","","","","","","","",""
4.0,0.8925678730010986,0.00019273337089964352,"train",500.0,"2022-08-11 10:32:37.350756","","","","","","","","","","","","",""
4.0,0.770369291305542,0.00020173307817968923,"train",520.0,"2022-08-11 10:32:42.087523","","","","","","","","","","","","",""
4.0,"","","train",535.0,"2022-08-11 10:32:55.223582",0.8593320235756385,0.7998178310712876,0.8124839747992287,28025.002031433236,0.7413136161069191,0.7469504903133222,-19672.410526255764,0.5681728880157171,0.6754768135364791,0.6778351678094571,11319.819021078292,0.5482858245224503,0.7199360767079505
4.0,"","","val",535.0,"2022-08-11 10:32:58.763278",0.8662519440124417,0.8208630760004476,0.8099663657284464,25937.697379310062,0.7642077434760361,0.7761053621825024,-18675.97380723292,0.5474339035769828,0.6640220718789044,0.6641791044776124,11414.250235155776,0.5255815722417312,0.7104
5.0,0.753613293170929,0.0002110541431941484,"train",540.0,"2022-08-11 10:33:01.500626","","","","","","","","","","","","",""
5.0,0.9550529718399048,0.00022069299262256962,"train",560.0,"2022-08-11 10:33:06.286813","","","","","","","","","","","","",""
5.0,0.7448132038116455,0.00023064593131877213,"train",580.0,"2022-08-11 10:33:10.882701","","","","","","","","","","","","",""
5.0,0.7261399626731873,0.00024090914372741526,"train",600.0,"2022-08-11 10:33:15.654548","","","","","","","","","","","","",""
5.0,0.7525234222412109,0.0002514786953467297,"train",620.0,"2022-08-11 10:33:20.400610","","","","","","","","","","","","",""
5.0,0.8505568504333496,0.00026235053423684504,"train",640.0,"2022-08-11 10:33:25.024528","","","","","","","","","","","","",""
5.0,"","","train",642.0,"2022-08-11 10:33:35.387088",0.9092337917485265,0.8147533726730987,0.8168737351537971,31080.685971712108,0.7899100204016651,0.7428844773977518,-21044.81591175688,0.574852652259332,0.6964803394763424,0.6993196103973138,11008.945851801649,0.5377530725926881,0.7765348248768145
5.0,"","","val",642.0,"2022-08-11 10:33:38.859867",0.9066874027993779,0.8227093871543537,0.8100991325898375,29010.939752436483,0.8006077896303647,0.7629350893697083,-20267.872672012254,0.536547433903577,0.6785869375942187,0.6729308005427407,11524.805591588027,0.4956995473207706,0.7472
6.0,0.8295074105262756,0.00027352049257314197,"train",660.0,"2022-08-11 10:33:44.756527","","","","","","","","","","","","",""
