"epoch","loss","lr","part","step","time","murmur_accuracy","murmur_auprc","murmur_auroc","murmur_cost","murmur_f_measure","murmur_weighted_accuracy","neg_weighted_cost","outcome_accuracy","outcome_auprc","outcome_auroc","outcome_cost","outcome_f_measure","outcome_weighted_accuracy"
0.0,3.4343647956848145,8.049272957686478e-05,"train",20.0,"2022-08-14 14:04:09.759119","","","","","","","","","","","","",""
0.0,2.8165431022644043,8.197041251071786e-05,"train",40.0,"2022-08-14 14:04:22.376364","","","","","","","","","","","","",""
0.0,3.310537815093994,8.44315319305448e-05,"train",60.0,"2022-08-14 14:04:33.840539","","","","","","","","","","","","",""
0.0,2.9838802814483643,8.787356144815774e-05,"train",80.0,"2022-08-14 14:04:45.220333","","","","","","","","","","","","",""
0.0,3.489668369293213,9.229296775158167e-05,"train",100.0,"2022-08-14 14:04:57.517031","","","","","","","","","","","","",""
0.0,"","","train",109.0,"2022-08-14 14:05:07.775012",0.835700575815739,0.6032497978310982,0.6825121061737208,50035.0,0.45524884985361774,0.5042853833680797,-37044.31592341146,0.5140115163147793,0.5515812499756063,0.5632027126640127,24053.631846822907,0.35964812130984053,0.18935756002595716
0.0,"","","val",109.0,"2022-08-14 14:05:09.852722",0.8330804248861912,0.6192678411044815,0.6749047855605236,50035.0,0.4544701986754967,0.49954504094631486,-36906.01584164257,0.5159332321699545,0.547714550089174,0.5542772861356933,23777.031683285135,0.36411703675471946,0.19391438886023724
1.0,2.8832387924194336,9.768521423207189e-05,"train",120.0,"2022-08-14 14:05:17.485269","","","","","","","","","","","","",""
1.0,3.0662543773651123,0.00010404476564103036,"train",140.0,"2022-08-14 14:05:28.968971","","","","","","","","","","","","",""
1.0,3.1590468883514404,0.00011136509377205153,"train",160.0,"2022-08-14 14:05:39.603019","","","","","","","","","","","","",""
1.0,2.803016185760498,0.00011963868416225531,"train",180.0,"2022-08-14 14:05:50.931765","","","","","","","","","","","","",""
1.0,3.3365325927734375,0.00012885704380603282,"train",200.0,"2022-08-14 14:06:02.813179","","","","","","","","","","","","",""
1.0,"","","train",218.0,"2022-08-14 14:06:17.881160",0.8602687140115163,0.7130588717732584,0.733712474081197,43706.76573130551,0.5973588110403397,0.5821172110261755,-29238.1052664583,0.48829174664107483,0.618221855789636,0.6259419136075486,14769.444801611091,0.33330664613096045,0.8212848799480856
1.0,"","","val",218.0,"2022-08-14 14:06:19.839090",0.8710166919575114,0.7633023107127439,0.7711790031462165,40975.71648111468,0.6492595723364953,0.6132848043676069,-27791.690680649484,0.48710166919575115,0.6184149247504367,0.6175792772861356,14607.66488018429,0.33769238088441683,0.8194945848375451
2.0,3.013369083404541,0.00013901070987328706,"train",220.0,"2022-08-14 14:06:22.991346","","","","","","","","","","","","",""
2.0,3.4070663452148438,0.00015008925942321593,"train",240.0,"2022-08-14 14:06:33.991109","","","","","","","","","","","","",""
2.0,3.258328914642334,0.00016208132010366982,"train",260.0,"2022-08-14 14:06:44.927065","","","","","","","","","","","","",""
2.0,2.40087628364563,0.0001749745818250964,"train",280.0,"2022-08-14 14:06:56.352318","","","","","","","","","","","","",""
2.0,2.7944798469543457,0.00018875580939709522,"train",300.0,"2022-08-14 14:07:07.894139","","","","","","","","","","","","",""
2.0,3.049694061279297,0.00020341085611460304,"train",320.0,"2022-08-14 14:07:18.812610","","","","","","","","","","","","",""
2.0,"","","train",327.0,"2022-08-14 14:07:27.335483",0.8690978886756238,0.7268534437402001,0.7631507068374113,39236.229991331755,0.6656738179624321,0.6319203150335881,-28915.350282754713,0.5961612284069098,0.6396077599670222,0.6385131947515836,18594.470574177667,0.5565013115000298,0.4024659312134977
2.0,"","","val",327.0,"2022-08-14 14:07:29.297466",0.8831562974203339,0.7511678861672348,0.7749751614505711,34903.4730060515,0.7275938521663974,0.6824385805277525,-26107.411092184888,0.6084977238239757,0.6594628533253559,0.6619376843657816,17311.349178318276,0.5809375924282756,0.44610624033006707
3.0,3.166749954223633,0.00021892467827977014,"train",340.0,"2022-08-14 14:07:38.403536","","","","","","","","","","","","",""
3.0,3.40022349357605,0.00023528135064461463,"train",360.0,"2022-08-14 14:07:49.782822","","","","","","","","","","","","",""
3.0,2.861088991165161,0.00025246408275860985,"train",380.0,"2022-08-14 14:08:01.067940","","","","","","","","","","","","",""
3.0,2.5124495029449463,0.0002704552362044134,"train",400.0,"2022-08-14 14:08:12.831360","","","","","","","","","","","","",""
3.0,3.073014974594116,0.00028923634270405806,"train",420.0,"2022-08-14 14:08:24.828136","","","","","","","","","","","","",""
3.0,"","","train",436.0,"2022-08-14 14:08:37.847645",0.83531669865643,0.5112112929000333,0.5341816956370551,50035.0,0.45513490901485043,0.5040537410238591,-37271.311912580255,0.509404990403071,0.5265753578794041,0.5325649417661809,24507.623825160506,0.3374872838250254,0.17222582738481507
3.0,"","","val",436.0,"2022-08-14 14:08:39.761073",0.8330804248861912,0.5258839962214279,0.5560440470276543,50035.0,0.4544701986754967,0.49954504094631486,-37174.60546282246,0.5144157814871017,0.5038370346976001,0.5014196165191749,24314.210925644915,0.3396793587174349,0.17483238782877772
4.0,3.76059627532959,0.00030878812307700404,"train",440.0,"2022-08-14 14:08:44.064992","","","","","","","","","","","","",""
4.0,2.864490509033203,0.0003290905070306065,"train",460.0,"2022-08-14 14:08:54.415199","","","","","","","","","","","","",""
4.0,3.408184051513672,0.00035012265376266685,"train",480.0,"2022-08-14 14:09:05.868757","","","","","","","","","","","","",""
4.0,3.218296527862549,0.00037186297335493586,"train",500.0,"2022-08-14 14:09:18.162368","","","","","","","","","","","","",""
4.0,2.9933605194091797,0.0003942891489355936,"train",520.0,"2022-08-14 14:09:29.538544","","","","","","","","","","","","",""
